country,food_category,consumption,co2_emmission,food_division
Czech Republic,Fish,8.25,13.17,Animal
Czech Republic,Eggs,11.66,10.71,Animal
Czech Republic,Milk - inc. cheese,195.2,278.04,Non-Animal
Czech Republic,Wheat and Wheat Products,92.67,17.67,Non-Animal
Czech Republic,Rice,4.79,6.13,Non-Animal
Czech Republic,Soybeans,0.82,0.37,Non-Animal
Czech Republic,Nuts inc. Peanut Butter,2.47,4.37,Non-Animal
Denmark,Pork,24.87,88.03,Animal
Denmark,Poultry,26.75,28.73,Animal
Denmark,Beef,28.46,878.22,Animal
Denmark,Lamb & Goat,0.92,32.22,Animal
Denmark,Fish,16.49,26.33,Animal
Denmark,Eggs,15.35,14.1,Animal
Denmark,Milk - inc. cheese,277.3,394.99,Non-Animal
Denmark,Wheat and Wheat Products,98,18.69,Non-Animal
Denmark,Rice,4.96,6.35,Non-Animal
Denmark,Soybeans,0.03,0.01,Non-Animal
Denmark,Nuts inc. Peanut Butter,5.94,10.51,Non-Animal
Ecuador,Pork,14.44,51.11,Animal
Ecuador,Poultry,21.85,23.47,Animal
Ecuador,Beef,16.61,512.55,Animal
Ecuador,Lamb & Goat,0.44,15.41,Animal
Ecuador,Fish,5.17,8.25,Animal
Ecuador,Eggs,8.01,7.36,Animal
Ecuador,Milk - inc. cheese,139.6,198.85,Non-Animal
Ecuador,Wheat and Wheat Products,39.19,7.47,Non-Animal
Ecuador,Rice,45.07,57.68,Non-Animal
Ecuador,Soybeans,0,0,Non-Animal
Ecuador,Nuts inc. Peanut Butter,0.98,1.73,Non-Animal
Egypt,Pork,0.02,0.07,Animal
Egypt,Poultry,14.43,15.5,Animal
Egypt,Beef,12.88,397.45,Animal
Egypt,Lamb & Goat,1.58,55.33,Animal
Egypt,Fish,21.46,34.26,Animal
Egypt,Eggs,4.59,4.22,Animal
Egypt,Milk - inc. cheese,59.46,84.69,Non-Animal
Egypt,Wheat and Wheat Products,146.83,28,Non-Animal
Egypt,Rice,39.77,50.89,Non-Animal
Egypt,Soybeans,0.64,0.29,Non-Animal
Egypt,Nuts inc. Peanut Butter,1.82,3.22,Non-Animal
El Salvador,Pork,3.23,11.43,Animal
El Salvador,Poultry,19.84,21.31,Animal
El Salvador,Beef,5.95,183.6,Animal
El Salvador,Lamb & Goat,0.02,0.7,Animal
El Salvador,Fish,6.25,9.98,Animal
El Salvador,Eggs,9.51,8.74,Animal
El Salvador,Milk - inc. cheese,124.34,177.11,Non-Animal
El Salvador,Wheat and Wheat Products,28.19,5.38,Non-Animal
El Salvador,Rice,10.53,13.48,Non-Animal
El Salvador,Soybeans,0.8,0.36,Non-Animal
El Salvador,Nuts inc. Peanut Butter,1.1,1.95,Non-Animal
Estonia,Pork,29.68,105.05,Animal
Estonia,Poultry,21.11,22.68,Animal
Estonia,Beef,7.19,221.87,Animal
Estonia,Lamb & Goat,0.44,15.41,Animal
Estonia,Fish,12.78,20.41,Animal
Estonia,Eggs,12.66,11.63,Animal
Estonia,Milk - inc. cheese,284.85,405.74,Non-Animal
Estonia,Wheat and Wheat Products,89.36,17.04,Non-Animal
Estonia,Rice,2.56,3.28,Non-Animal
Estonia,Soybeans,0.04,0.02,Non-Animal
Estonia,Nuts inc. Peanut Butter,4.29,7.59,Non-Animal
Ethiopia,Pork,0.02,0.07,Animal
Ethiopia,Poultry,0.66,0.71,Animal
Ethiopia,Beef,3.61,111.4,Animal
Ethiopia,Lamb & Goat,1.57,54.98,Animal
Ethiopia,Fish,0.24,0.38,Animal
Ethiopia,Eggs,0.36,0.33,Animal
Ethiopia,Milk - inc. cheese,44.14,62.87,Non-Animal
Ethiopia,Wheat and Wheat Products,31.26,5.96,Non-Animal
Ethiopia,Rice,2.25,2.88,Non-Animal
Ethiopia,Soybeans,0.45,0.2,Non-Animal
Ethiopia,Nuts inc. Peanut Butter,1.21,2.14,Non-Animal
Fiji,Pork,4.31,15.26,Animal
Fiji,Poultry,20.26,21.76,Animal
Fiji,Beef,8.96,276.49,Animal
Fiji,Lamb & Goat,5.9,206.62,Animal
Fiji,Fish,35.01,55.9,Animal
Fiji,Eggs,6.44,5.92,Animal
Fiji,Milk - inc. cheese,40.2,57.26,Non-Animal
Fiji,Wheat and Wheat Products,84.22,16.06,Non-Animal
Fiji,Rice,45.62,58.38,Non-Animal
Fiji,Soybeans,0.3,0.14,Non-Animal
Fiji,Nuts inc. Peanut Butter,1.3,2.3,Non-Animal
Finland,Pork,36.14,127.92,Animal
Finland,Poultry,19.87,21.34,Animal
Finland,Beef,19.22,593.09,Animal
Finland,Lamb & Goat,0.53,18.56,Animal
Finland,Fish,33.8,53.97,Animal
Finland,Eggs,9.55,8.77,Animal
Finland,Milk - inc. cheese,430.76,613.57,Non-Animal
Finland,Wheat and Wheat Products,81.99,15.64,Non-Animal
Finland,Rice,4.42,5.66,Non-Animal
Finland,Soybeans,0.08,0.04,Non-Animal
Finland,Nuts inc. Peanut Butter,3.43,6.07,Non-Animal
France,Pork,33.05,116.98,Animal
France,Poultry,22.93,24.63,Animal
France,Beef,23.81,734.73,Animal
France,Lamb & Goat,3.28,114.87,Animal
France,Fish,22.91,36.58,Animal
France,Eggs,13.13,12.06,Animal
France,Milk - inc. cheese,241.31,343.72,Non-Animal
France,Wheat and Wheat Products,108.43,20.68,Non-Animal
France,Rice,4.88,6.24,Non-Animal
France,Soybeans,0.05,0.02,Non-Animal
France,Nuts inc. Peanut Butter,5.39,9.54,Non-Animal
French Polynesia,Pork,14.75,52.21,Animal
French Polynesia,Poultry,49.55,53.23,Animal
French Polynesia,Beef,30.9,953.51,Animal
French Polynesia,Lamb & Goat,2.83,99.11,Animal
French Polynesia,Fish,38.95,62.19,Animal
French Polynesia,Eggs,8.75,8.04,Animal
French Polynesia,Milk - inc. cheese,93.56,133.27,Non-Animal
French Polynesia,Wheat and Wheat Products,68.67,13.1,Non-Animal
French Polynesia,Rice,35.59,45.54,Non-Animal
French Polynesia,Soybeans,0.77,0.35,Non-Animal
French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,Non-Animal
Gambia,Pork,0.18,0.64,Animal
Gambia,Poultry,2.66,2.86,Animal
Gambia,Beef,2.16,66.65,Animal
Gambia,Lamb & Goat,0.71,24.86,Animal
Gambia,Fish,23.13,36.93,Animal
Gambia,Eggs,0.99,0.91,Animal
Gambia,Milk - inc. cheese,45.71,65.11,Non-Animal
Gambia,Wheat and Wheat Products,37.91,7.23,Non-Animal
Gambia,Rice,61.84,79.14,Non-Animal
Gambia,Soybeans,0,0,Non-Animal
Gambia,Nuts inc. Peanut Butter,5.27,9.33,Non-Animal
Georgia,Pork,8.93,31.61,Animal
Georgia,Poultry,12.28,13.19,Animal
Georgia,Beef,6.04,186.38,Animal
Georgia,Lamb & Goat,0.63,22.06,Animal
Georgia,Fish,10.42,16.64,Animal
Georgia,Eggs,6.12,5.62,Animal
Georgia,Milk - inc. cheese,149.26,212.61,Non-Animal
Georgia,Wheat and Wheat Products,163.43,31.17,Non-Animal
Georgia,Rice,2.64,3.38,Non-Animal
Georgia,Soybeans,0,0,Non-Animal
Georgia,Nuts inc. Peanut Butter,2.47,4.37,Non-Animal
Germany,Pork,51.81,183.38,Animal
Germany,Poultry,17.75,19.07,Animal
Germany,Beef,13.16,406.09,Animal
Germany,Lamb & Goat,0.73,25.56,Animal
Germany,Fish,11.16,17.82,Animal
Germany,Eggs,12.2,11.21,Animal
Germany,Milk - inc. cheese,258.7,368.49,Non-Animal
Germany,Wheat and Wheat Products,83.41,15.91,Non-Animal
Germany,Rice,3.34,4.27,Non-Animal
Germany,Soybeans,0.88,0.4,Non-Animal
Germany,Nuts inc. Peanut Butter,7.96,14.09,Non-Animal
Ghana,Pork,1.36,4.81,Animal
Ghana,Poultry,8.63,9.27,Animal
Ghana,Beef,1.09,33.64,Animal
Ghana,Lamb & Goat,1.74,60.93,Animal
Ghana,Fish,26.05,41.59,Animal
Ghana,Eggs,1.21,1.11,Animal
Ghana,Milk - inc. cheese,9.08,12.93,Non-Animal
Ghana,Wheat and Wheat Products,14.45,2.76,Non-Animal
Ghana,Rice,32.03,40.99,Non-Animal
Ghana,Soybeans,0.01,0,Non-Animal
Ghana,Nuts inc. Peanut Butter,5.56,9.84,Non-Animal
Greece,Pork,28.31,100.2,Animal
Greece,Poultry,15.74,16.91,Animal
Greece,Beef,16.1,496.81,Animal
Greece,Lamb & Goat,12.47,436.7,Animal
Greece,Fish,14.42,23.02,Animal
Greece,Eggs,10.13,9.31,Animal
Greece,Milk - inc. cheese,255.26,363.59,Non-Animal
Greece,Wheat and Wheat Products,124.04,23.65,Non-Animal
Greece,Rice,6.64,8.5,Non-Animal
Greece,Soybeans,0.02,0.01,Non-Animal
Greece,Nuts inc. Peanut Butter,10.5,18.59,Non-Animal
Grenada,Pork,11.52,40.78,Animal
Grenada,Poultry,43.51,46.74,Animal
Grenada,Beef,3.46,106.77,Animal
Grenada,Lamb & Goat,1.25,43.77,Animal
Grenada,Fish,27.95,44.63,Animal
Grenada,Eggs,10.34,9.5,Animal
Grenada,Milk - inc. cheese,86.88,123.75,Non-Animal
Grenada,Wheat and Wheat Products,59.59,11.36,Non-Animal
Grenada,Rice,9.56,12.23,Non-Animal
Grenada,Soybeans,0.01,0,Non-Animal
Grenada,Nuts inc. Peanut Butter,0.18,0.32,Non-Animal
Guatemala,Pork,4.85,17.17,Animal
Guatemala,Poultry,16.45,17.67,Animal
Guatemala,Beef,5.6,172.8,Animal
Guatemala,Lamb & Goat,0.23,8.05,Animal
Guatemala,Fish,1.08,1.72,Animal
Guatemala,Eggs,14.61,13.42,Animal
Guatemala,Milk - inc. cheese,46.6,66.38,Non-Animal
Guatemala,Wheat and Wheat Products,35.9,6.85,Non-Animal
Guatemala,Rice,5.66,7.24,Non-Animal
Guatemala,Soybeans,0.32,0.14,Non-Animal
Guatemala,Nuts inc. Peanut Butter,2,3.54,Non-Animal
Guinea,Pork,0.16,0.57,Animal
Guinea,Poultry,1.83,1.97,Animal
Guinea,Beef,6.26,193.17,Animal
Guinea,Lamb & Goat,1.6,56.03,Animal
Guinea,Fish,9.18,14.66,Animal
Guinea,Eggs,1.95,1.79,Animal
Guinea,Milk - inc. cheese,20.62,29.37,Non-Animal
Guinea,Wheat and Wheat Products,18.55,3.54,Non-Animal
Guinea,Rice,97.12,124.28,Non-Animal
Guinea,Soybeans,0,0,Non-Animal
Guinea,Nuts inc. Peanut Butter,4.14,7.33,Non-Animal
Honduras,Pork,6.48,22.94,Animal
Honduras,Poultry,20.29,21.8,Animal
Honduras,Beef,7.19,221.87,Animal
